TotalPremium,PolicyAge,PremiumPerClaim,IsHighRiskProvince,Province_encoded,Gender_encoded,VehicleType_encoded,make_encoded
345.413859649123,0.4958904109589041,0.00836239320683517,0,8,2,4,24
552.577543859649,0.08493150684931507,0.02009542751686863,1,3,2,4,24
21.929824561403,0.33424657534246577,0.04127183202281599,0,8,2,4,24
21.929824561403,0.4191780821917808,0.019069412496268586,0,2,2,4,24
767.871315789474,0.25205479452054796,0.01059936425945148,1,3,2,4,24
21.929824561403,0.33424657534246577,0.02921448064476865,0,6,2,4,24
21.929824561403,0.08493150684931507,0.011473152762370572,0,6,2,4,24
751.325701754386,0.16712328767123288,0.21894460570143962,0,8,2,4,24
74.561403508771,0.16712328767123288,0.012142857123081486,0,2,2,4,24
395.529122807018,0.5808219178082191,0.01999177101147689,0,2,2,4,24
21.929824561403,0.08493150684931507,0.0122144266356363,0,4,2,4,24
21.929824561403,0.25205479452054796,0.12499999287499755,0,2,2,4,24
588.349736842105,0.0,0.013414373996941521,0,2,2,4,24
21.929824561403,0.08493150684931507,0.026881720100589063,0,6,2,4,24
21.929824561403,0.33424657534246577,0.014285714192652735,1,3,2,4,24
1021.36956140351,0.16712328767123288,0.049792096949528554,1,3,2,4,24
764.621929824561,0.4191780821917808,0.06815931245732444,0,2,2,4,23
519.132105263158,0.4191780821917808,0.028860672438258267,0,2,2,4,24
243.538333333333,0.6657534246575343,0.0006195452161627598,0,8,2,1,11
43.293718166383,0.8328767123287671,0.007050691232756966,0,8,2,4,24
15.78947368421,0.25205479452054796,0.004568794611846664,0,0,2,3,16
74.561403508771,0.5808219178082191,0.012142857123081486,0,0,2,4,24
74.561403508771,0.16712328767123288,0.03399999984495958,0,2,2,4,24
611.63201754386,0.4958904109589041,0.04117049218067994,0,8,2,4,24
21.929824561403,0.16712328767123288,0.027412280359100243,0,6,2,4,24
74.561403508771,0.5808219178082191,0.016999999961239794,0,2,2,4,24
21.929824561403,0.08493150684931507,0.014705882254324905,0,6,2,3,27
15.78947368421,0.4958904109589041,0.023999999635199217,0,2,2,4,24
74.561403508771,0.5808219178082191,0.012142857123081486,0,2,2,4,24
588.349736842105,0.4958904109589041,0.02110165699419858,0,2,2,3,16
760.84,0.4191780821917808,1.449219020014876,0,2,2,4,24
21.929824561403,0.7479452054794521,0.012141934288619326,0,8,2,1,11
431.386315789474,0.7479452054794521,0.01572792860619677,0,8,2,4,24
0.0,1.3342465753424657,0.0,0,2,1,4,24
566.609122807018,0.4191780821917808,0.009724500701396513,0,8,2,4,24
627.003684210526,0.08493150684931507,0.020310575677987282,0,2,2,4,24
1224.02543859649,0.16712328767123288,0.0466685284103002,1,3,2,4,24
74.561403508771,0.4191780821917808,0.012142857123081486,0,2,2,4,24
658.657280701754,0.5808219178082191,0.014358338270127422,0,2,2,4,24
0.0,1.167123287671233,0.0,0,2,2,4,24
21.929824561403,0.08493150684931507,0.02499999971499943,0,8,2,4,24
109.649122807018,0.7479452054794521,0.002499999999430011,0,2,2,4,24
805.229824561404,0.6657534246575343,0.01944276811994228,1,3,2,4,24
21.929824561403,0.25205479452054796,0.004601051974872258,1,3,1,4,24
15.78947368421,1.6657534246575343,0.006640767644812872,0,2,0,4,24
566.325877192982,0.7479452054794521,0.042404754680882346,0,2,2,4,24
15.78947368421,0.33424657534246577,0.021034426064233218,0,4,2,4,24
637.966140350877,0.25205479452054796,0.07666407344317558,0,2,2,4,24
223.336578947368,0.16712328767123288,0.009353552530983448,0,2,2,4,24
21.929824561403,0.16712328767123288,0.033333332826665917,0,5,2,4,24
21.929824561403,0.6657534246575343,0.0877192947368402,0,6,2,4,24
74.561403508771,0.25205479452054796,0.02124999993943724,0,2,2,4,24
74.561403508771,0.08493150684931507,0.018888888841036806,0,5,2,4,24
21.929824561403,0.4958904109589041,0.09999999543999792,0,2,2,4,24
488.793245614035,0.5808219178082191,0.009620289636995424,0,2,2,4,24
21.929824561403,0.4191780821917808,0.02183558654846962,1,3,2,4,24
70.838157894736,1.167123287671233,0.004888853503859438,0,2,2,4,16
808.281929824561,0.4191780821917808,0.09215759490379627,0,8,2,4,24
263.045755517827,0.4191780821917808,0.0027023057003263636,0,2,2,4,24
758.998551216752,0.4191780821917808,0.014828679601607234,0,2,2,4,24
21.929824561403,0.16712328767123288,0.01686909568670157,0,2,2,4,24
627.677894736842,0.4191780821917808,0.03476387328925984,0,8,2,4,24
74.561403508771,0.25205479452054796,0.012142857123081486,1,3,2,4,24
872.821403508772,0.33424657534246577,0.023936500751211814,1,3,2,3,27
600.035789473684,0.08493150684931507,0.007230875263399234,0,8,2,4,24
